pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.8999999999999986, steering_wheel_angle: 29
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.8999999999999986, steering_wheel_angle: 29
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.8999999999999986, steering_wheel_angle: 29
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.1000000000000014, steering_wheel_angle: 11
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.1000000000000014, steering_wheel_angle: 11
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.1000000000000014, steering_wheel_angle: 11
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.1000000000000014, steering_wheel_angle: 11
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 1.1000000000000014, steering_wheel_angle: 11
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [Decimal('116.385532659999995530597516335546970367431640625'), Decimal('39.904409979999996949118212796747684478759765625'), Decimal('0')], speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553265999999705101018492544817363624551294711'), Decimal('39.904409976747151823356052433038772953776769137559')), speed: 0.01, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553266000000161226319136987140301936199719908'), Decimal('39.904409973494306697752595899018970314498459763502')), speed: 0.01, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553266096578002947241628161804645237353446626'), Decimal('39.904407387482838842786322767078001278638830282958')), speed: 7.95, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553266385344469053996226967808655365013949868'), Decimal('39.904404801473619261342135285878547176243789298927')), speed: 7.95, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553266866299325632307794698554574055990471716'), Decimal('39.904402215469075139471946530489682445556741709078')), speed: 7.95, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553267773145576862645605379854625500969236637'), Decimal('39.904398871564360438436311148886388196323314154989')), speed: 10.28, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553269654990480555875398145926636301680905329'), Decimal('39.904394031390173961706856341696722267589946917708')), speed: 14.88, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553272210110293758668165206619437319178401245'), Decimal('39.904389191266916866202219988992334271935873232619')), speed: 14.88, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553275486474823969617439671856851040043639664'), Decimal('39.904384286156412212338952306935666886778113090544')), speed: 15.08, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38553279553112915220953321992045307259248387869'), Decimal('39.904379381142414006382927569165995397271513298776')), speed: 15.08, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: (Decimal('116.38553284883590931928168328149731249237140866279'), Decimal('39.904374492585872176354371538450275898055094144747')), speed: 15.03, wheel_angle: 1.7000000000000028, steering_wheel_angle: 17
pos_current: (Decimal('116.38553292160419925718252065845084559184780567129'), Decimal('39.904369614194117030779259542867911219581258220844')), speed: 15.00, wheel_angle: 2.299999999999997, steering_wheel_angle: 23
pos_current: (Decimal('116.38553302077593012377634802456117864511136875634'), Decimal('39.904364736552262710644110348394875172418483758601')), speed: 15.00, wheel_angle: 3.1000000000000014, steering_wheel_angle: 31
pos_current: (Decimal('116.38553315506351240238264635557525373856295187506'), Decimal('39.904359863521430291906784723037474312681333137531')), speed: 14.99, wheel_angle: 4.100000000000001, steering_wheel_angle: 41
pos_current: (Decimal('116.38553333315169200334526913994091339926748885160'), Decimal('39.904354973241406160363550218273106755982719465779')), speed: 15.05, wheel_angle: 4.700000000000003, steering_wheel_angle: 47
pos_current: (Decimal('116.38553356049540460547529724425160807904188604199'), Decimal('39.904350086306002706420678809345696985306071993061')), speed: 15.05, wheel_angle: 5.299999999999997, steering_wheel_angle: 53
pos_current: (Decimal('116.38553384265010631890949084169533650388328497365'), Decimal('39.904345177999815976388668181083075628655088766852')), speed: 15.13, wheel_angle: 5.5, steering_wheel_angle: 55
pos_current: (Decimal('116.38553418449451091324988504649948403656146410601'), Decimal('39.904340269393703830284726943001826969399770594788')), speed: 15.15, wheel_angle: 6.399999999999999, steering_wheel_angle: 64
pos_current: (Decimal('116.38553459818848322220592801290635351663889320055'), Decimal('39.904335369819584415861427467809404600553547836347')), speed: 15.15, wheel_angle: 8.0, steering_wheel_angle: 80
pos_current: (Decimal('116.38553510075683052502172177875877443248863723050'), Decimal('39.904330483842756609299555505381596923458558270418')), speed: 15.15, wheel_angle: 9.799999999999997, steering_wheel_angle: 98
pos_current: (Decimal('116.38553570756851971767948909613602197873164043073'), Decimal('39.904325614096332732845659777942885376801978035051')), speed: 15.16, wheel_angle: 11.0, steering_wheel_angle: 110
pos_current: (Decimal('116.38553642702157262228857828238941527973117998937'), Decimal('39.904320763268366583910398713218326150584636647768')), speed: 15.18, wheel_angle: 11.399999999999999, steering_wheel_angle: 114
pos_current: (Decimal('116.38553726286545645511265951616754382262252070120'), Decimal('39.904315943556530755061504149873659795665401888554')), speed: 15.18, wheel_angle: 12.0, steering_wheel_angle: 120
pos_current: (Decimal('116.38553822318580313739239041759127794900364190367'), Decimal('39.904311135876307673593278956570623283247833891054')), speed: 15.26, wheel_angle: 12.100000000000001, steering_wheel_angle: 121
pos_current: (Decimal('116.38553933067392598896049202216967731035691280249'), Decimal('39.904306262531587630747118103870340994202817191110')), speed: 15.61, wheel_angle: 12.299999999999997, steering_wheel_angle: 123
pos_current: (Decimal('116.38554058975849071961336340499605258950759469327'), Decimal('39.904301351627466887481542521297369311122620116671')), speed: 15.90, wheel_angle: 12.5, steering_wheel_angle: 125
pos_current: (Decimal('116.38554198061636817308849412299353320450286054259'), Decimal('39.904296500836718463532741359952866457562470584605')), speed: 15.90, wheel_angle: 12.5, steering_wheel_angle: 125
pos_current: (Decimal('116.38554351530408127105137469097919194811651584849'), Decimal('39.904291667377568079364505798714275182081694148203')), speed: 16.06, wheel_angle: 12.100000000000001, steering_wheel_angle: 121
pos_current: (Decimal('116.38554517565095509838853112408776355309391357522'), Decimal('39.904286870050814673279156175083940039551525853793')), speed: 16.16, wheel_angle: 10.0, steering_wheel_angle: 100
pos_current: (Decimal('116.38554693130667793447565136010852109065026876617'), Decimal('39.904282131519863884092494022235014674882909815160')), speed: 16.16, wheel_angle: 8.399999999999999, steering_wheel_angle: 84
pos_current: (Decimal('116.38554894884191965309007927854751751646393466352'), Decimal('39.904276939680034362914434282419707525119627203613')), speed: 17.88, wheel_angle: 4.5, steering_wheel_angle: 45
pos_current: (Decimal('116.38555112788482544588051681977270674890199008277'), Decimal('39.904271505502508517892528503225956438652815372469')), speed: 18.84, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: (Decimal('116.38555346240291733120132309935301509078642568531'), Decimal('39.904265832935928715086308368367986073609920064675')), speed: 19.78, wheel_angle: 2.8999999999999986, steering_wheel_angle: 29
pos_current: (Decimal('116.38555591420439384565177697522936922874983416843'), Decimal('39.904260003275128456409058719907840204926353083975')), speed: 20.43, wheel_angle: 2.299999999999997, steering_wheel_angle: 23
pos_current: (Decimal('116.38555843859983788972664281609392513264289808401'), Decimal('39.904254096836427417946006471507583825378962719366')), speed: 20.78, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: (Decimal('116.38556100028815252447767800554255130219717200114'), Decimal('39.904248159099216365033428949709171779293830901955')), speed: 20.94, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: (Decimal('116.38556358168674398908509208514533880546600126260'), Decimal('39.904242206264438182549545698289747139763276353482')), speed: 21.02, wheel_angle: 0.5, steering_wheel_angle: 5
pos_current: [Decimal('116.38556618435849247947920333564439971109045092350'), Decimal('39.904236217241112320075423884751910657974595422561'), 0], speed: 21.10, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: (Decimal('116.38556878034976282692217705120078997217063211890'), Decimal('39.904230228259210620049031004641142217739301904746')), speed: 21.15, wheel_angle: -0.6000000000000014, steering_wheel_angle: -6
pos_current: (Decimal('116.38557136716024365251666809474593177536584152443'), Decimal('39.904224221798125489644043421300917913569491093274')), speed: 21.18, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: (Decimal('116.38557393566497653277305471635673567776064564518'), Decimal('39.904218206022726873763668630164738134802512935633')), speed: 21.17, wheel_angle: -1.1000000000000014, steering_wheel_angle: -11
pos_current: (Decimal('116.38557647765564425739938484227969055841761457158'), Decimal('39.904212189985964982541864242081651448720219546908')), speed: 21.12, wheel_angle: -1.2999999999999972, steering_wheel_angle: -13
pos_current: (Decimal('116.38557896677384831895917876987009642865678290854'), Decimal('39.904206211538537918910517184876415356416237200993')), speed: 20.92, wheel_angle: -2.1000000000000014, steering_wheel_angle: -21
