pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.8999999999999986, steering_wheel_angle: 9
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.7000000000000028, steering_wheel_angle: 17
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.7000000000000028, steering_wheel_angle: 17
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.2999999999999972, steering_wheel_angle: 13
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.2999999999999972, steering_wheel_angle: 13
pos_current: [116.38553269551974, 39.90140998000033, 0], theta_current: 270.0013567545677, speed: 0.03, wheel_angle: 1.2999999999999972, steering_wheel_angle: 13
pos_current: [116.39552258116939, 38.31345179871419, 0], theta_current: 270.7195321724357, speed: 15.88, wheel_angle: 1.2999999999999972, steering_wheel_angle: 13
pos_current: [116.43460824191715, 36.72597137471154, 0], theta_current: 272.1012787324539, speed: 15.88, wheel_angle: 2.5, steering_wheel_angle: 25
pos_current: [116.51500343316039, 35.116024414171775, 0], theta_current: 273.61627859307714, speed: 16.12, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [116.62470345616318, 33.65818098306382, 0], theta_current: 274.9903045212602, speed: 14.62, wheel_angle: 2.700000000000003, steering_wheel_angle: 27
pos_current: [116.758101266274, 32.32487318538601, 0], theta_current: 276.4365856302595, speed: 13.40, wheel_angle: 3.1000000000000014, steering_wheel_angle: 31
pos_current: [116.9387039463506, 30.90233832960329, 0], theta_current: 278.0343516180883, speed: 14.34, wheel_angle: 3.200000000000003, steering_wheel_angle: 32
pos_current: [117.17665729869624, 29.40622038575016, 0], theta_current: 280.03972759605176, speed: 15.15, wheel_angle: 3.799999999999997, steering_wheel_angle: 38
pos_current: [117.46956352964068, 27.919901263448427, 0], theta_current: 282.25691773179256, speed: 15.15, wheel_angle: 4.200000000000003, steering_wheel_angle: 42
pos_current: [117.82281527565718, 26.45090035969178, 0], theta_current: 284.78554918164605, speed: 15.11, wheel_angle: 4.799999999999997, steering_wheel_angle: 48
pos_current: [118.23629263983698, 25.02164491037974, 0], theta_current: 287.4843021297413, speed: 14.88, wheel_angle: 5.200000000000003, steering_wheel_angle: 52
pos_current: [118.70592752385987, 23.657383487546113, 0], theta_current: 290.5068370780539, speed: 14.43, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [119.20533353042913, 22.41838767882126, 0], theta_current: 293.3992485020742, speed: 13.36, wheel_angle: 6.200000000000003, steering_wheel_angle: 62
pos_current: [119.76563309004776, 21.20570238959783, 0], theta_current: 296.1976592373103, speed: 13.36, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [120.30396348486559, 20.168131471964568, 0], theta_current: 298.64626863064177, speed: 11.69, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [120.90008653660232, 19.131393587703894, 0], theta_current: 301.1514327319459, speed: 11.96, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [121.54095508927001, 18.121702728245015, 0], theta_current: 303.65659683325, speed: 11.96, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [122.42106888340929, 16.87654313910644, 0], theta_current: 306.8508905242941, speed: 15.25, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [123.4563106556654, 15.579227110630535, 0], theta_current: 310.32795775520117, speed: 16.60, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [124.57040440192513, 14.344920665552788, 0], theta_current: 313.8113088425496, speed: 16.63, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [125.71192137243425, 13.22268701651442, 0], theta_current: 317.16479356344246, speed: 16.01, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [126.84929907667177, 12.225211510410105, 0], theta_current: 320.33395182872096, speed: 15.13, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [128.04008183461877, 11.292140317654258, 0], theta_current: 323.50311009399945, speed: 15.13, wheel_angle: 6.0, steering_wheel_angle: 60
pos_current: [129.15986506198232, 10.50481498789368, 0], theta_current: 326.27439134059114, speed: 13.69, wheel_angle: 5.799999999999997, steering_wheel_angle: 58
pos_current: [130.31640519070444, 9.772550976882153, 0], theta_current: 329.04567258718293, speed: 13.69, wheel_angle: 5.799999999999997, steering_wheel_angle: 58
pos_current: [131.20915375090775, 9.258952948220683, 0], theta_current: 331.13071253166027, speed: 10.30, wheel_angle: 5.799999999999997, steering_wheel_angle: 58
pos_current: [132.11999737120135, 8.77817563369715, 0], theta_current: 333.2157524761376, speed: 10.30, wheel_angle: 5.799999999999997, steering_wheel_angle: 58
pos_current: [133.04772996250162, 8.330855652219336, 0], theta_current: 335.3007924206149, speed: 10.30, wheel_angle: 5.799999999999997, steering_wheel_angle: 58
pos_current: [133.9908654482423, 7.916988079726248, 0], theta_current: 337.3134662671953, speed: 10.30, wheel_angle: 5.600000000000001, steering_wheel_angle: 56
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 10.30, wheel_angle: 4.600000000000001, steering_wheel_angle: 46
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
pos_current: [134.94676659049313, 7.533478560180261, 0], theta_current: 338.9650162607553, speed: 0.00, wheel_angle: 4.0, steering_wheel_angle: 40
