pos_current: [116.38541900117424, 39.90441075433653, 0], speed: 16.82, wheel_angle: -11.2, steering_wheel_angle: -112
pos_current: [116.38541577212324, 39.90441082425616, 0], speed: 16.82, wheel_angle: -11.2, steering_wheel_angle: -112
pos_current: [116.38541254113159, 39.90441089297759, 0], speed: 16.83, wheel_angle: -11.0, steering_wheel_angle: -110
pos_current: [116.38540931013993, 39.904410961699014, 0], speed: 16.83, wheel_angle: -11.0, steering_wheel_angle: -110
pos_current: [116.38540608287575, 39.904411023256316, 0], speed: 16.81, wheel_angle: -9.899999999999999, steering_wheel_angle: -99
pos_current: [116.38540286124727, 39.90441107578182, 0], speed: 16.78, wheel_angle: -8.5, steering_wheel_angle: -85
pos_current: [116.3853996395162, 39.90441111955873, 0], speed: 16.78, wheel_angle: -7.100000000000001, steering_wheel_angle: -71
pos_current: [116.38539640233746, 39.90441115434973, 0], speed: 16.86, wheel_angle: -5.600000000000001, steering_wheel_angle: -56
pos_current: [116.38539313441025, 39.90441118598511, 0], speed: 17.02, wheel_angle: -5.0, steering_wheel_angle: -50
pos_current: [116.38538987026504, 39.90441120868145, 0], speed: 17.00, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38538664832487, 39.90441122279808, 0], speed: 16.78, wheel_angle: -2.299999999999997, steering_wheel_angle: -23
pos_current: [116.385383457086, 39.90441122821469, 0], speed: 16.62, wheel_angle: -0.8999999999999986, steering_wheel_angle: -9
pos_current: [116.38538086563203, 39.904413638764815, 0], speed: 16.58, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537827417807, 39.904416049315024, 0], speed: 16.58, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537568116111, 39.90441846131921, 0], speed: 16.59, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537308501814, 39.90442087623126, 0], speed: 16.61, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537048262319, 39.90442329695896, 0], speed: 16.65, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38536787866524, 39.90442571914063, 0], speed: 16.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38536527158128, 39.904428144230174, 0], speed: 16.68, wheel_angle: 0.0, steering_wheel_angle: 0
