pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90436251587863, 0], theta_current: 270.0, speed: 0.19, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.904315051757266, 0], theta_current: 270.0, speed: 0.19, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90050792960125, 0], theta_current: 270.0, speed: 15.24, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.89651095095976, 0], theta_current: 270.0, speed: 16.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.89260890056101, 0], theta_current: 270.0, speed: 15.62, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.8888417481914, 0], theta_current: 270.0, speed: 15.08, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.88517951651114, 0], theta_current: 270.0, speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.88151728483087, 0], theta_current: 270.0, speed: 14.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.87792500027683, 0], theta_current: 270.0, speed: 14.38, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.87439017229077, 0], theta_current: 270.50813059080497, speed: 14.15, wheel_angle: 1.0, steering_wheel_angle: 10
pos_current: [116.38556365392482, 39.87089545152763, 0], theta_current: 271.76476300507744, speed: 13.99, wheel_angle: 2.5, steering_wheel_angle: 25
pos_current: [116.3856706663145, 39.86742222639178, 0], theta_current: 273.5150555573328, speed: 13.91, wheel_angle: 3.5, steering_wheel_angle: 35
pos_current: [116.38588371363363, 39.863953890287014, 0], theta_current: 275.3656358918531, speed: 13.91, wheel_angle: 3.700000000000003, steering_wheel_angle: 37
pos_current: [116.38620351394569, 39.860548960722035, 0], theta_current: 277.4833296055689, speed: 13.69, wheel_angle: 4.299999999999997, steering_wheel_angle: 43
pos_current: [116.38663297379694, 39.85727953888443, 0], theta_current: 279.95475087109025, speed: 13.20, wheel_angle: 5.200000000000003, steering_wheel_angle: 52
pos_current: [116.38715853463688, 39.8542851085096, 0], theta_current: 282.8516687754393, speed: 12.17, wheel_angle: 6.600000000000001, steering_wheel_angle: 66
pos_current: [116.38783476001471, 39.85132106621831, 0], theta_current: 285.92586632880335, speed: 12.17, wheel_angle: 7.0, steering_wheel_angle: 70
pos_current: [116.3886381253205, 39.848505655048854, 0], theta_current: 288.8009940338333, speed: 11.72, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
pos_current: [116.38958089357463, 39.84573644898027, 0], theta_current: 291.67366855822763, speed: 11.71, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
pos_current: [116.39066126038384, 39.84301797113616, 0], theta_current: 294.54634308262195, speed: 11.71, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
pos_current: [116.39195642021143, 39.840182083088536, 0], theta_current: 297.6079125159645, speed: 12.48, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
pos_current: [116.39362346636733, 39.836994390175924, 0], theta_current: 301.1404926313597, speed: 14.40, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
pos_current: [116.39554189233034, 39.83381925478274, 0], theta_current: 304.783465875361, speed: 14.85, wheel_angle: 6.799999999999997, steering_wheel_angle: 68
