pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90438000266018, 0], theta_current: 270.0, speed: 0.12, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.900460465479874, 0], theta_current: 270.0, speed: 15.69, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.89598884562471, 0], theta_current: 269.55006738035615, speed: 17.90, wheel_angle: -0.7000000000000028, steering_wheel_angle: -7
pos_current: [116.38549697670682, 39.891444920639366, 0], theta_current: 267.5888492954034, speed: 18.19, wheel_angle: -3.0, steering_wheel_angle: -30
pos_current: [116.38530538705649, 39.88689489498226, 0], theta_current: 264.4395032056004, speed: 18.23, wheel_angle: -4.800000000000001, steering_wheel_angle: -48
pos_current: [116.38486411388133, 39.88236226681978, 0], theta_current: 260.3652039160149, speed: 18.23, wheel_angle: -6.199999999999999, steering_wheel_angle: -62
pos_current: [116.3841052573985, 39.87789214919251, 0], theta_current: 255.71426374744513, speed: 18.15, wheel_angle: -7.100000000000001, steering_wheel_angle: -71
pos_current: [116.38304130187953, 39.873713739614736, 0], theta_current: 250.91326099075025, speed: 17.26, wheel_angle: -7.699999999999999, steering_wheel_angle: -77
pos_current: [116.3817449125725, 39.86996718649108, 0], theta_current: 246.26657230241673, speed: 15.87, wheel_angle: -8.100000000000001, steering_wheel_angle: -81
pos_current: [116.38021060382053, 39.86647746684739, 0], theta_current: 241.9102415232296, speed: 15.26, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.37842741435323, 39.86313641252711, 0], theta_current: 237.58245812791654, speed: 15.16, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.37639718584286, 39.859939448210284, 0], theta_current: 233.2546747326035, speed: 15.16, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.37412701248516, 39.85689879994244, 0], theta_current: 228.9183271221282, speed: 15.19, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.37163178880184, 39.85403662370743, 0], theta_current: 224.5791247732655, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.36892716233336, 39.85137144271993, 0], theta_current: 220.2399224244028, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.36602863816822, 39.848918535935276, 0], theta_current: 215.9007200755401, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.36295283297203, 39.846691965382796, 0], theta_current: 211.5615177266774, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.35971737972747, 39.84470449555098, 0], theta_current: 207.2223153778147, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.35634082664792, 39.842967520211175, 0], theta_current: 202.883113028952, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.35284253084419, 39.841490997099385, 0], theta_current: 198.5439106800893, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.34924254735402, 39.84028339083049, 0], theta_current: 194.2047083312266, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.34556151417058, 39.83935162437234, 0], theta_current: 189.8655059823639, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.34182053392888, 39.838701039357694, 0], theta_current: 185.52630363350121, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
pos_current: [116.33804105292855, 39.83833536546173, 0], theta_current: 181.18710128463852, speed: 15.20, wheel_angle: -7.899999999999999, steering_wheel_angle: -79
