pos_current: [116.38551259472683, 39.90440998, 0], speed: 16.37, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855094514874, 39.90440998, 0], speed: 16.37, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38550628520649, 39.90440998, 0], speed: 16.49, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3855031112451, 39.90440998, 0], speed: 16.53, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549993728371, 39.90440998, 0], speed: 16.53, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549676524244, 39.90440998, 0], speed: 16.52, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38549358936092, 39.90440998, 0], speed: 16.54, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3854904134794, 39.90440998, 0], speed: 16.54, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548721455642, 39.90440998, 0], speed: 16.66, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548396379015, 39.90440998, 0], speed: 16.93, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38548071302388, 39.90440998, 0], speed: 16.93, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38547742385518, 39.90440998, 0], speed: 17.13, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3854741097249, 39.90440998, 0], speed: 17.26, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38547071686962, 39.90440998, 0], speed: 17.67, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38546713008203, 39.90440998, 0], speed: 18.68, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38546354329445, 39.90440998, 0], speed: 18.68, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38545972801236, 39.90440998, 0], speed: 19.87, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38545585512662, 39.90440998, 0], speed: 20.17, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38545194767869, 39.90440998, 0], speed: 20.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3854479999082, 39.90440998, 0], speed: 20.56, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38544404445722, 39.90440998, 0], speed: 20.60, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38544008132575, 39.90440998, 0], speed: 20.64, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.3854361009132, 39.90440998, 0], speed: 20.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38543208977869, 39.90440998, 0], speed: 20.89, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38542805944296, 39.90440998, 0], speed: 20.99, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38542401950662, 39.90440998, 0], speed: 21.04, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38541996612942, 39.90440998, 0], speed: 21.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38541586474918, 39.90440998, 0], speed: 21.36, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38541172112626, 39.90440998, 0], speed: 21.58, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38540757750334, 39.90440998, 0], speed: 21.58, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38540334363469, 39.90440998, 0], speed: 22.05, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38539902528069, 39.90440998, 0], speed: 22.49, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38539466852426, 39.90440998, 0], speed: 22.69, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38539029832697, 39.90440998, 0], speed: 22.76, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38538592620955, 39.90440998, 0], speed: 22.77, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.385381552172, 39.90440998, 0], speed: 22.78, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537717621435, 39.90440998, 0], speed: 22.79, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38537279833656, 39.90440998, 0], speed: 22.80, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38536841853866, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38536403874076, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38535965894286, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38535527914496, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38535089934706, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38534651954916, 39.90440998, 0], speed: 22.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38534213783113, 39.90440998, 0], speed: 22.82, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38533775419299, 39.90440998, 0], speed: 22.83, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38533337247496, 39.90440998, 0], speed: 22.82, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38532898883682, 39.90440998, 0], speed: 22.83, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38532458599745, 39.90440998, 0], speed: 22.93, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38532015627638, 39.90440998, 0], speed: 23.07, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38531570351384, 39.90440998, 0], speed: 23.19, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38531121618911, 39.90440998, 0], speed: 23.37, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38530656565402, 39.90440998, 0], speed: 24.22, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38530185751529, 39.90440998, 0], speed: 24.52, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38529710521375, 39.90440998, 0], speed: 24.75, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38529230490917, 39.90440998, 0], speed: 25.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38528745660155, 39.90440998, 0], speed: 25.25, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38528256797136, 39.90440998, 0], speed: 25.46, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38527764861922, 39.90440998, 0], speed: 25.62, wheel_angle: 0.0, steering_wheel_angle: 0
