pos_current: [Decimal('116.38553265999999553058412842686394920926007991015'), Decimal('39.904314974349752273780926489501349981873021416727'), 0], speed: 24.23, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553058299618021744022610615815178'), Decimal('39.904306939506390376698929492022558019767156799510'), 0], speed: 24.63, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553058184692458760975185298192371'), Decimal('39.904298783961912469874418263352379149860131545743'), 0], speed: 25.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553058070042717129087078705061810'), Decimal('39.904290647991709765533250953451857896350283795407'), 0], speed: 24.94, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057961047313195964917128334770'), Decimal('39.904282913275166094286467642153128132651680381407'), 0], speed: 23.71, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057860050728446462865308351580'), Decimal('39.904275746185192218271391830731617863302299395449'), 0], speed: 21.97, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057767604605582899527380713910'), Decimal('39.904269185868200973228261470708219620201721403532'), 0], speed: 20.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057684352527757979980369237001'), Decimal('39.904263277995036598832035421821929170051133780814'), 0], speed: 18.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057611259869700761828705182774'), Decimal('39.904258091072054063364346587661685358878373318857'), 0], speed: 15.90, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057538167211643543677041128547'), Decimal('39.904252904149464205625547066867978602483516702943'), 0], speed: 15.90, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057476567109884630272350620977'), Decimal('39.904248532781071613557381393810656367244694250848'), 0], speed: 13.40, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057414967008125716867660113407'), Decimal('39.904244161412957923301431834180045571824904481669'), 0], speed: 13.40, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057367066033474382709769016230'), Decimal('39.904240762185134154913073781704950640911262918897'), 0], speed: 10.42, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057319165058823048551877919053'), Decimal('39.904237362957479032873077757418984293429165361044'), 0], speed: 10.42, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057271264084171714393986821876'), Decimal('39.904233963729992557143785805864483341491739463251'), 0], speed: 10.42, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057223363109520380236095724699'), Decimal('39.904230564502674727688544183729322282222429476520'), 0], speed: 10.42, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057195275301927323451237903768'), Decimal('39.904228571289826214304931739455806783491169406924'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057167187494334266666380082837'), Decimal('39.904226578077035686976064740081201204553968017816'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057139099686741209881522261906'), Decimal('39.904224584864303145693699394153557985642150983232'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057111011879148153096664440975'), Decimal('39.904222591651628590450769594714064932668283166632'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057082924071555096311806620044'), Decimal('39.904220598439012021239914813680626010124619634121'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057054836263962039526948799113'), Decimal('39.904218605226453438053480101847861341083105654447'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), 0], speed: 6.11, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [Decimal('116.38553265999999553057026748456368982742090978182'), Decimal('39.904216612013952840883810510010391048615686496359'), Decimal('0')], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
