pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -5.899999999999999, steering_wheel_angle: -59
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -4.199999999999999, steering_wheel_angle: -42
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -1.0, steering_wheel_angle: -10
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 1.5, steering_wheel_angle: 15
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.0, steering_wheel_angle: -20
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.799999999999997, steering_wheel_angle: -28
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.0, steering_wheel_angle: -30
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.3999999999999986, steering_wheel_angle: -34
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -4.800000000000001, steering_wheel_angle: -48
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -4.399999999999999, steering_wheel_angle: -44
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.6000000000000014, steering_wheel_angle: -36
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.799999999999997, steering_wheel_angle: -28
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.200000000000003, steering_wheel_angle: -32
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -3.0, steering_wheel_angle: -30
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.799999999999997, steering_wheel_angle: -28
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.6000000000000014, steering_wheel_angle: -26
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.38553266, 39.90440998, 0], theta_current: 270.0, speed: 0.00, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.38022910180815, 39.05143196377252, 0], theta_current: 269.28751367739994, speed: 8.53, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.36431924733779, 38.19858584610088, 0], theta_current: 268.5750273547999, speed: 8.53, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.3076056287425, 36.63564835562993, 0], theta_current: 267.2686632181685, speed: 15.64, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.21961195514311, 35.13625815398661, 0], theta_current: 266.01408589513767, speed: 15.02, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [116.10181678872856, 33.6720167714635, 0], theta_current: 264.7870725212813, speed: 14.69, wheel_angle: -2.3999999999999986, steering_wheel_angle: -24
pos_current: [115.95399863506874, 32.21049649912851, 0], theta_current: 263.6624154070157, speed: 14.69, wheel_angle: -2.200000000000003, steering_wheel_angle: -22
pos_current: [115.7777823817007, 30.7541421735597, 0], theta_current: 262.53928948010775, speed: 14.67, wheel_angle: -2.200000000000003, steering_wheel_angle: -22
pos_current: [115.57405390798598, 29.299357496482667, 0], theta_current: 261.51696117755, speed: 14.69, wheel_angle: -2.0, steering_wheel_angle: -20
pos_current: [115.34569637706018, 27.848231219847403, 0], theta_current: 260.5969367425953, speed: 14.69, wheel_angle: -1.7999999999999972, steering_wheel_angle: -18
pos_current: [115.09535922402151, 26.400731417122156, 0], theta_current: 259.77919373248096, speed: 14.69, wheel_angle: -1.6000000000000014, steering_wheel_angle: -16
pos_current: [114.82419763147351, 24.955970308854607, 0], theta_current: 258.9608940559199, speed: 14.70, wheel_angle: -1.6000000000000014, steering_wheel_angle: -16
pos_current: [114.53371641252552, 23.51496630371456, 0], theta_current: 258.2449254735767, speed: 14.70, wheel_angle: -1.3999999999999986, steering_wheel_angle: -14
pos_current: [114.22781740219999, 22.077151485313568, 0], theta_current: 257.73356920202013, speed: 14.70, wheel_angle: -1.0, steering_wheel_angle: -10
pos_current: [113.91037913795418, 20.641838359464234, 0], theta_current: 257.3244991399755, speed: 14.70, wheel_angle: -0.7999999999999972, steering_wheel_angle: -8
pos_current: [113.59198757942221, 19.226201465534302, 0], theta_current: 257.3244991399755, speed: 14.51, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [113.29992750746767, 17.927639986677832, 0], theta_current: 257.3244991399755, speed: 13.31, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [113.00786743551313, 16.62907850782136, 0], theta_current: 257.3244991399755, speed: 13.31, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [112.75047715421886, 15.48466632547828, 0], theta_current: 257.3244991399755, speed: 11.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [112.49308687292458, 14.340254143135198, 0], theta_current: 257.3244991399755, speed: 11.73, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [112.22713885849264, 13.157792450893242, 0], theta_current: 257.3244991399755, speed: 12.12, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [111.88724325258912, 11.646543967986648, 0], theta_current: 257.3244991399755, speed: 15.49, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [111.50850870398389, 9.962609247846702, 0], theta_current: 257.3244991399755, speed: 17.26, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [111.12384957089876, 8.252332559315226, 0], theta_current: 257.3244991399755, speed: 17.53, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [110.73962929592324, 6.544007127701641, 0], theta_current: 257.3244991399755, speed: 17.51, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [110.35540902094772, 4.835681696088056, 0], theta_current: 257.3244991399755, speed: 17.51, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [109.97184703313664, 3.1302831498513073, 0], theta_current: 257.3244991399755, speed: 17.48, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [109.58916276154481, 1.4287871174503408, 0], theta_current: 257.3244991399755, speed: 17.44, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [109.21152535821365, -0.25026946039487896, 0], theta_current: 257.3244991399755, speed: 17.21, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [108.84266511707496, -1.8903008998822783, 0], theta_current: 257.3244991399755, speed: 16.81, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [108.48016831852581, -3.502039114060258, 0], theta_current: 257.3244991399755, speed: 16.52, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [108.12140181390848, -5.0971916444361645, 0], theta_current: 257.3244991399755, speed: 16.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [107.76263530929114, -6.692344174812071, 0], theta_current: 257.3244991399755, speed: 16.35, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [107.40518537900267, -8.281642934434304, 0], theta_current: 257.3244991399755, speed: 16.29, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [107.04619944533052, -9.877771093269155, 0], theta_current: 257.3244991399755, speed: 16.36, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [106.68721351165836, -11.473899252104006, 0], theta_current: 257.3244991399755, speed: 16.36, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [106.32778871987658, -13.07197866785675, 0], theta_current: 257.3244991399755, speed: 16.38, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [105.97494679973916, -14.640789229841126, 0], theta_current: 257.3244991399755, speed: 16.08, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [105.64317006886367, -16.115939459766736, 0], theta_current: 257.3244991399755, speed: 15.12, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [105.31613493761836, -17.592145460674953, 0], theta_current: 257.69265658796394, speed: 15.12, wheel_angle: 0.7000000000000028, steering_wheel_angle: 7
